"Record ID";"Survey Identifier";"Survey Timestamp";"¿Vd. Tiene a alguien con quien pueda hablar de sus problemas cotidianos?";"¿Cree que hay personas que se preocupan por usted?";"¿Tiene amigos o familiares cuando le hacen falta?";"¿Siente que no le hacen caso?";"¿Se siente triste?";"¿Se siente usted solo?";"¿Y por la noche, se siente solo?";"¿Se siente querido?";"¿Utiliza Ud. el teléfono móvil?";"¿Utiliza Ud. el ordenador (consola, juegos de la memoria)?";"¿Utiliza Ud. Internet?";"Durante la semana y los fines de semana ¿le llaman otras personas para salir a la calle?";"¿Le resulta fácil hacer amigos?";"¿Va a algún centro de entretenimiento, deportivo, cultural, de mayores o participa en asociaciones o voluntariado donde se relaciona con otras personas?";"¿Le gustaría participar en las actividades de ocio que se organizan en su barrio/pueblo?";Complete?
1;CPDC6352;"2022-05-12 13:58:51";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Nunca;"A veces";Complete
2;CPDC8588;"2022-05-12 15:09:54";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Siempre;Siempre;Complete
3;CPDC2433;"2022-05-12 15:31:39";Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;"A veces";Complete
4;CPDC8301;"2022-05-13 13:35:47";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Complete
5;CPDC8225;"2022-05-13 15:48:10";Siempre;"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Nunca;Nunca;"A veces";Complete
6;CPDC1414;"2022-05-14 16:54:40";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";Complete
7;CPDC2879;"2022-05-15 08:23:58";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Nunca;Nunca;Complete
8;CPDC7950;"2022-05-15 09:08:58";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Complete
9;CPDC1740;"2022-05-15 09:57:04";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";Nunca;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";"A veces";Complete
10;CPDC5910;"2022-05-15 12:23:21";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Complete
11;CPDC9476;"2022-05-15 17:02:46";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Complete
12;CPDC1389;"2022-05-15 17:54:57";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Siempre;"A veces";Siempre;"A veces";"A veces";Complete
13;CPDC9032;"2022-05-15 18:32:04";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Complete
14;CPDC3256;"2022-05-16 16:33:24";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;Complete
15;CPDC9584;"2022-05-16 17:51:49";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
16;CPDC4352;"2022-05-16 19:21:36";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Siempre;"A veces";Nunca;Nunca;"A veces";Complete
17;CPDC8564;"2022-05-16 21:19:27";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;Siempre;Complete
18;CPDC7205;"2022-05-17 09:23:25";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;Nunca;Complete
19;CPDC8552;"2022-05-17 12:12:24";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Complete
20;CPDC4755;"2022-05-17 12:43:55";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Complete
21;CPDC6591;"2022-05-17 18:28:57";"A veces";"A veces";"A veces";Nunca;"A veces";"A veces";Nunca;"A veces";Siempre;"A veces";Siempre;"A veces";Nunca;Siempre;"A veces";Complete
22;CPDC2737;"2022-05-17 19:28:52";Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Nunca;Nunca;Complete
23;CPDC3856;"2022-05-17 23:01:59";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Complete
24;CPDC6950;"2022-05-18 17:38:30";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
25;CPDC8105;"2022-05-18 18:02:54";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Complete
26;CPDC4950;"2022-05-18 19:25:48";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";"A veces";Complete
27;CPDC9076;"2022-05-19 09:49:16";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Complete
28;CPDC8660;"2022-05-19 22:02:51";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";Complete
29;CPDC8464;"2022-05-20 09:57:15";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;"A veces";Complete
30;CPDC1938;"2022-05-20 10:09:26";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Complete
31;CPDC8334;"2022-05-20 10:10:44";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;Nunca;Nunca;"A veces";Complete
32;CPDC8331;"2022-05-20 11:07:02";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;"A veces";Siempre;Nunca;"A veces";"A veces";"A veces";"A veces";"A veces";Complete
33;CPDC2986;"2022-05-20 11:19:06";Siempre;Siempre;Siempre;"A veces";Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Complete
34;CPDC6384;"2022-05-20 12:47:39";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Complete
35;CPDC8422;"2022-05-20 13:43:42";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Nunca;Nunca;Complete
36;CPDC2499;"2022-05-20 14:53:55";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;"A veces";Complete
37;CPDC4236;"2022-05-21 06:23:47";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";Siempre;Nunca;Siempre;Complete
38;CPDC1318;"2022-05-21 09:28:59";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";Complete
39;CPDC6388;"2022-05-21 15:48:55";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Complete
40;CPDC6928;"2022-05-21 21:04:45";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Complete
41;CPDC7195;"2022-05-21 23:40:39";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Complete
42;CPDC2199;"2022-05-22 14:19:39";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;Nunca;Complete
43;CPDC6785;"2022-05-22 15:10:54";Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Complete
44;CPDC1111;"2022-05-22 16:02:41";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;Nunca;Siempre;"A veces";Siempre;"A veces";Siempre;Complete
45;CPDC8828;"2022-05-22 17:41:29";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;"A veces";Nunca;"A veces";"A veces";Siempre;"A veces";Siempre;Complete
46;CPDC2336;"2022-05-22 17:56:05";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;Siempre;Complete
47;CPDC7373;"2022-05-22 20:29:16";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
48;CPDC3895;"2022-05-22 22:39:06";"A veces";Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;"A veces";Complete
49;CPDC4474;"2022-05-22 23:23:05";Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Nunca;"A veces";Complete
50;CPDC1307;"2022-05-23 01:04:47";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
51;CPDC2507;"2022-05-23 09:14:58";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;"A veces";Complete
52;CPDC4554;"2022-05-23 09:18:53";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";Complete
53;CPDC3519;"2022-05-23 10:29:32";Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Complete
54;CPDC8965;"2022-05-23 11:31:58";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";"A veces";Siempre;"A veces";Siempre;"A veces";Complete
55;CPDC3753;"2022-05-23 13:58:35";"A veces";Siempre;Siempre;Nunca;"A veces";"A veces";Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";Siempre;Nunca;"A veces";Complete
56;CPDC9233;"2022-05-23 14:19:38";Siempre;Siempre;Siempre;Siempre;"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";"A veces";Complete
57;CPDC7421;"2022-05-23 14:25:06";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Complete
58;CPDC3104;"2022-05-23 14:25:48";"A veces";Siempre;Siempre;"A veces";Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Complete
59;CPDC5538;"2022-05-23 14:26:18";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Complete
60;CPDC9685;"2022-05-23 14:28:34";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";Siempre;"A veces";"A veces";Siempre;"A veces";Complete
61;CPDC6233;"2022-05-23 14:31:31";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Complete
62;CPDC3302;"2022-05-23 14:34:07";"A veces";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Siempre;"A veces";Nunca;"A veces";"A veces";"A veces";Siempre;"A veces";Complete
63;CPDC9089;"2022-05-23 14:37:30";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;"A veces";Nunca;Nunca;"A veces";Siempre;Siempre;Siempre;Complete
64;CPDC2285;"2022-05-23 14:44:25";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";Complete
65;CPDC4913;"2022-05-23 14:53:26";"A veces";Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;Siempre;Complete
66;CPDC1346;"2022-05-23 15:09:54";Siempre;"A veces";"A veces";Nunca;"A veces";Nunca;Nunca;"A veces";Siempre;"A veces";Nunca;"A veces";"A veces";Siempre;"A veces";Complete
67;CPDC5278;"2022-05-23 15:31:34";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";Siempre;"A veces";"A veces";Complete
68;CPDC2551;"2022-05-23 15:55:28";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Siempre;"A veces";Complete
69;CPDC3251;"2022-05-23 17:04:03";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Complete
70;CPDC6527;"2022-05-23 17:08:29";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Complete
71;CPDC8796;"2022-05-23 17:09:11";Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";Siempre;Siempre;Siempre;Complete
72;CPDC9968;"2022-05-23 17:11:00";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Complete
73;CPDC6496;"2022-05-23 17:12:51";Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Nunca;"A veces";"A veces";Siempre;"A veces";"A veces";Complete
74;CPDC5851;"2022-05-23 17:16:13";Siempre;Siempre;Siempre;Nunca;Nunca;"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;"A veces";Complete
75;CPDC3120;"2022-05-23 17:19:02";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Nunca;Nunca;Nunca;Siempre;Nunca;"A veces";Complete
76;CPDC1978;"2022-05-23 17:19:14";"A veces";Siempre;Siempre;"A veces";Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Complete
77;CPDC4678;"2022-05-23 17:20:54";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;Nunca;Siempre;"A veces";"A veces";Complete
78;CPDC2947;"2022-05-23 17:20:25";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Siempre;"A veces";Complete
79;CPDC2560;"2022-05-23 18:20:23";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
80;CPDC8200;"2022-05-23 18:22:49";"A veces";Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;Nunca;Complete
81;CPDC6858;"2022-05-23 18:23:01";"A veces";Siempre;"A veces";"A veces";Siempre;"A veces";Nunca;"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;Complete
82;CPDC6722;"2022-05-23 18:23:08";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;"A veces";Complete
83;CPDC6359;"2022-05-23 18:26:45";"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Siempre;Siempre;Complete
84;CPDC6646;"2022-05-23 18:27:00";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Complete
85;CPDC5597;"2022-05-23 18:28:31";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Complete
86;CPDC2882;"2022-05-23 18:30:00";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Complete
87;CPDC3447;"2022-05-23 18:31:05";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";Complete
88;CPDC2546;"2022-05-23 19:37:55";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Complete
89;CPDC4808;"2022-05-24 00:36:25";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;"A veces";Siempre;Siempre;"A veces";"A veces";Nunca;Complete
90;CPDC2378;"2022-05-25 10:38:55";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Nunca;"A veces";Complete
91;CPDC2212;"2022-05-25 18:57:38";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Siempre;Complete
92;CPDC5380;"2022-05-25 23:49:53";"A veces";Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";Complete
93;CPDC1444;"2022-05-27 20:50:16";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Complete
94;CPDC6029;"2022-05-28 12:45:11";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;"A veces";Complete
95;CPDC8031;"2022-05-29 14:11:13";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";Siempre;"A veces";"A veces";Complete
96;CPDC1148;"2022-05-29 20:02:23";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";"A veces";"A veces";Siempre;"A veces";Siempre;"A veces";Complete
97;CPDC7284;"2022-05-30 12:39:07";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;"A veces";Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Complete
98;CPDC4186;"2022-05-30 13:45:34";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Complete
99;CPDC4969;"2022-05-31 11:21:28";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;"A veces";Complete
100;CPDC2690;"2022-05-31 11:30:34";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;Nunca;Nunca;Siempre;"A veces";Siempre;Siempre;Complete
101;CPDC7662;"2022-05-31 11:30:24";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Nunca;"A veces";"A veces";Siempre;Nunca;"A veces";Complete
102;CPDC3417;"2022-05-31 13:02:49";Siempre;"A veces";"A veces";Nunca;Nunca;Nunca;Nunca;"A veces";Siempre;Nunca;Nunca;"A veces";"A veces";Nunca;Nunca;Complete
103;CPDC7395;"2022-05-31 13:38:02";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Nunca;"A veces";Complete
104;CPDC3951;"2022-05-31 18:41:40";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;Nunca;Nunca;Siempre;"A veces";Complete
105;CPDC7244;"2022-05-31 19:23:48";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;"A veces";"A veces";Siempre;"A veces";"A veces";Nunca;"A veces";Complete
106;CPDC3524;"2022-06-01 12:24:48";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;"A veces";Siempre;"A veces";"A veces";Nunca;"A veces";Complete
107;CPDC7535;"2022-06-02 20:49:18";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";Nunca;"A veces";"A veces";"A veces";"A veces";Nunca;Nunca;Nunca;"A veces";Complete
108;CPDC6689;"2022-06-03 10:28:32";Siempre;Siempre;Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Siempre;"A veces";"A veces";Nunca;"A veces";Siempre;Siempre;Complete
109;CPDC7868;"2022-06-04 10:22:30";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Nunca;Nunca;Complete
110;CPDC4018;"2022-06-04 17:16:26";"A veces";Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;"A veces";"A veces";"A veces";Nunca;Siempre;Nunca;"A veces";Complete
111;CPDC7990;"2022-06-05 19:16:43";Siempre;Siempre;Siempre;"A veces";"A veces";Nunca;Nunca;Siempre;Siempre;Siempre;Siempre;"A veces";Siempre;Siempre;"A veces";Complete
112;CPDC3491;"2022-06-06 08:19:26";Siempre;Siempre;Siempre;Nunca;"A veces";Nunca;Nunca;Siempre;Siempre;Nunca;Siempre;Siempre;"A veces";Nunca;Siempre;Complete
113;CPDC7778;"2022-06-06 10:58:26";Siempre;Siempre;Siempre;Nunca;Nunca;Nunca;Nunca;Siempre;Siempre;"A veces";"A veces";Siempre;Nunca;Nunca;"A veces";Complete
114;CPDC3605;"2022-06-06 11:04:55";"A veces";Siempre;Siempre;"A veces";Nunca;"A veces";Nunca;"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Nunca;"A veces";Complete
115;CPDC3836;"2022-06-06 11:36:16";Siempre;"A veces";"A veces";"A veces";Nunca;Nunca;Nunca;"A veces";Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Complete
116;CPDC9197;"2022-06-06 12:04:49";Siempre;Siempre;Siempre;Nunca;"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;Siempre;Siempre;"A veces";Nunca;Nunca;Complete
117;CPDC1396;"2022-06-06 12:18:17";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;"A veces";Complete
118;CPDC3103;"2022-06-06 13:30:21";"A veces";Siempre;Siempre;"A veces";"A veces";"A veces";"A veces";"A veces";Siempre;Siempre;Siempre;"A veces";"A veces";Siempre;Nunca;Complete
