record_id;redcap_survey_identifier;escala_este_ii_anexo_c2_timestamp;preg_problemas_cotidianas;preg_personas;preg_familiares_amigos;preg_no_le_hacen_caso;preg_se_siente_triste;preg_se_siente_solo;preg_se_siente_solo_noche;preg_se_siente_querido;preg_usa_movil;preg_usa_ordenador;preg_usa_internet;preg_salir_a_la_calle;preg_hacer_amigos;preg_centro_dia;preg_actividades_ocio;escala_este_ii_anexo_c2_complete
1;CPDC6352;"2022-05-12 13:58:51";0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;2
2;CPDC8588;"2022-05-12 15:09:54";0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;2
3;CPDC2433;"2022-05-12 15:31:39";0;1;1;1;1;1;1;0;0;0;0;1;1;2;1;2
4;CPDC8301;"2022-05-13 13:35:47";0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;2
5;CPDC8225;"2022-05-13 15:48:10";0;1;0;1;1;1;1;0;1;1;1;1;2;2;1;2
6;CPDC1414;"2022-05-14 16:54:40";0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;2
7;CPDC2879;"2022-05-15 08:23:58";0;0;0;1;1;0;0;0;1;1;1;2;2;2;2;2
8;CPDC7950;"2022-05-15 09:08:58";0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;2
9;CPDC1740;"2022-05-15 09:57:04";0;0;0;0;1;1;0;0;1;1;1;0;0;1;1;2
10;CPDC5910;"2022-05-15 12:23:21";0;0;0;0;1;0;0;0;0;0;0;1;1;2;2;2
11;CPDC9476;"2022-05-15 17:02:46";0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;2
12;CPDC1389;"2022-05-15 17:54:57";1;0;0;1;1;1;1;0;0;1;0;1;0;1;1;2
13;CPDC9032;"2022-05-15 18:32:04";0;0;0;1;1;0;0;0;0;0;0;1;1;2;2;2
14;CPDC3256;"2022-05-16 16:33:24";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
15;CPDC9584;"2022-05-16 17:51:49";0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;2
16;CPDC4352;"2022-05-16 19:21:36";0;0;0;1;1;1;1;0;0;1;0;1;2;2;1;2
17;CPDC8564;"2022-05-16 21:19:27";0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;2
18;CPDC7205;"2022-05-17 09:23:25";0;0;0;0;1;0;0;0;0;1;0;1;1;2;2;2
19;CPDC8552;"2022-05-17 12:12:24";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
20;CPDC4755;"2022-05-17 12:43:55";0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;2
21;CPDC6591;"2022-05-17 18:28:57";1;1;1;0;1;1;0;1;0;1;0;1;2;0;1;2
22;CPDC2737;"2022-05-17 19:28:52";0;0;0;1;2;1;1;0;1;1;1;2;2;2;2;2
23;CPDC3856;"2022-05-17 23:01:59";0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;2
24;CPDC6950;"2022-05-18 17:38:30";1;1;1;1;1;1;1;1;0;1;1;1;1;2;1;2
25;CPDC8105;"2022-05-18 18:02:54";0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;2
26;CPDC4950;"2022-05-18 19:25:48";0;0;0;1;1;1;1;1;1;1;1;1;2;1;1;2
27;CPDC9076;"2022-05-19 09:49:16";0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;2
28;CPDC8660;"2022-05-19 22:02:51";0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;2
29;CPDC8464;"2022-05-20 09:57:15";0;0;0;0;1;0;0;0;0;1;0;1;1;2;1;2
30;CPDC1938;"2022-05-20 10:09:26";0;0;0;2;1;1;1;0;0;0;0;0;0;1;1;2
31;CPDC8334;"2022-05-20 10:10:44";0;0;0;0;1;1;1;0;0;0;0;0;2;2;1;2
32;CPDC8331;"2022-05-20 11:07:02";0;0;0;1;1;1;0;1;0;2;1;1;1;1;1;2
33;CPDC2986;"2022-05-20 11:19:06";0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;2
34;CPDC6384;"2022-05-20 12:47:39";0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;2
35;CPDC8422;"2022-05-20 13:43:42";0;0;0;1;1;0;0;0;0;0;0;1;0;2;2;2
36;CPDC2499;"2022-05-20 14:53:55";1;0;0;1;1;1;1;0;0;1;0;1;1;2;1;2
37;CPDC4236;"2022-05-21 06:23:47";0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;2
38;CPDC1318;"2022-05-21 09:28:59";0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;2
39;CPDC6388;"2022-05-21 15:48:55";0;0;0;2;1;1;1;0;0;0;0;1;1;1;0;2
40;CPDC6928;"2022-05-21 21:04:45";0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;2
41;CPDC7195;"2022-05-21 23:40:39";1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;2
42;CPDC2199;"2022-05-22 14:19:39";0;0;0;0;1;1;0;0;0;1;0;1;1;2;2;2
43;CPDC6785;"2022-05-22 15:10:54";0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;2
44;CPDC1111;"2022-05-22 16:02:41";0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;2
45;CPDC8828;"2022-05-22 17:41:29";0;0;0;0;1;0;0;0;1;2;1;1;0;1;0;2
46;CPDC2336;"2022-05-22 17:56:05";0;0;0;2;1;1;0;0;1;1;1;1;1;2;0;2
47;CPDC7373;"2022-05-22 20:29:16";0;0;0;1;1;1;0;0;1;1;1;1;1;2;1;2
48;CPDC3895;"2022-05-22 22:39:06";1;0;0;0;1;1;1;0;0;0;0;1;1;2;1;2
49;CPDC4474;"2022-05-22 23:23:05";0;0;1;1;1;0;0;0;0;0;0;0;1;2;1;2
50;CPDC1307;"2022-05-23 01:04:47";0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;2
51;CPDC2507;"2022-05-23 09:14:58";0;0;0;1;1;1;0;0;0;2;1;1;1;0;1;2
52;CPDC4554;"2022-05-23 09:18:53";0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2
53;CPDC3519;"2022-05-23 10:29:32";0;0;0;1;2;1;0;0;0;0;0;0;1;1;1;2
54;CPDC8965;"2022-05-23 11:31:58";0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;2
55;CPDC3753;"2022-05-23 13:58:35";1;0;0;0;1;1;0;0;0;1;0;1;0;2;1;2
56;CPDC9233;"2022-05-23 14:19:38";0;0;0;2;1;0;0;0;1;1;1;0;0;1;1;2
57;CPDC7421;"2022-05-23 14:25:06";0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;2
58;CPDC3104;"2022-05-23 14:25:48";1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;2
59;CPDC5538;"2022-05-23 14:26:18";1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;2
60;CPDC9685;"2022-05-23 14:28:34";1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;2
61;CPDC6233;"2022-05-23 14:31:31";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
62;CPDC3302;"2022-05-23 14:34:07";1;0;0;2;1;1;0;0;1;2;1;1;1;0;1;2
63;CPDC9089;"2022-05-23 14:37:30";0;0;0;1;1;1;0;0;1;2;2;1;0;0;0;2
64;CPDC2285;"2022-05-23 14:44:25";1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;2
65;CPDC4913;"2022-05-23 14:53:26";1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;2
66;CPDC1346;"2022-05-23 15:09:54";0;1;1;0;1;0;0;1;0;1;2;1;1;0;1;2
67;CPDC5278;"2022-05-23 15:31:34";0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;2
68;CPDC2551;"2022-05-23 15:55:28";0;0;0;1;1;1;0;0;0;1;0;1;1;0;1;2
69;CPDC3251;"2022-05-23 17:04:03";0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;2
70;CPDC6527;"2022-05-23 17:08:29";0;0;0;0;0;0;0;0;1;0;0;1;1;2;2;2
71;CPDC8796;"2022-05-23 17:09:11";0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;2
72;CPDC9968;"2022-05-23 17:11:00";0;0;0;0;1;1;0;0;0;0;0;1;1;2;2;2
73;CPDC6496;"2022-05-23 17:12:51";0;1;0;1;1;0;0;0;0;2;1;1;0;1;1;2
74;CPDC5851;"2022-05-23 17:16:13";0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;2
75;CPDC3120;"2022-05-23 17:19:02";1;0;1;1;1;1;1;0;0;2;2;2;0;2;1;2
76;CPDC1978;"2022-05-23 17:19:14";1;0;0;1;0;0;0;0;0;1;1;1;1;1;1;2
77;CPDC4678;"2022-05-23 17:20:54";1;1;1;1;1;1;0;0;0;0;0;2;0;1;1;2
78;CPDC2947;"2022-05-23 17:20:25";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
79;CPDC2560;"2022-05-23 18:20:23";0;0;0;1;1;0;0;0;0;1;1;1;1;2;1;2
80;CPDC8200;"2022-05-23 18:22:49";1;0;0;0;1;0;0;0;0;0;0;1;1;0;2;2
81;CPDC6858;"2022-05-23 18:23:01";1;0;1;1;2;1;0;1;0;0;0;0;1;1;0;2
82;CPDC6722;"2022-05-23 18:23:08";0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;2
83;CPDC6359;"2022-05-23 18:26:45";1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;2
84;CPDC6646;"2022-05-23 18:27:00";0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;2
85;CPDC5597;"2022-05-23 18:28:31";0;0;0;0;1;1;1;0;0;1;1;1;0;0;1;2
86;CPDC2882;"2022-05-23 18:30:00";0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;2
87;CPDC3447;"2022-05-23 18:31:05";0;0;0;1;1;0;0;0;0;1;1;1;1;0;1;2
88;CPDC2546;"2022-05-23 19:37:55";0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;2
89;CPDC4808;"2022-05-24 00:36:25";0;0;0;1;1;1;1;0;0;1;0;0;1;1;2;2
90;CPDC2378;"2022-05-25 10:38:55";0;0;0;1;1;1;0;0;1;1;1;1;1;2;1;2
91;CPDC2212;"2022-05-25 18:57:38";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
92;CPDC5380;"2022-05-25 23:49:53";1;0;0;1;1;0;0;0;0;1;1;1;1;0;1;2
93;CPDC1444;"2022-05-27 20:50:16";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;2
94;CPDC6029;"2022-05-28 12:45:11";0;0;0;0;1;1;0;0;0;0;0;1;1;2;1;2
95;CPDC8031;"2022-05-29 14:11:13";0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;2
96;CPDC1148;"2022-05-29 20:02:23";0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;2
97;CPDC7284;"2022-05-30 12:39:07";0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;2
98;CPDC4186;"2022-05-30 13:45:34";0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;2
99;CPDC4969;"2022-05-31 11:21:28";1;0;0;1;1;1;0;0;0;0;0;1;1;0;1;2
100;CPDC2690;"2022-05-31 11:30:34";0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;2
101;CPDC7662;"2022-05-31 11:30:24";0;0;0;1;1;0;0;0;0;2;1;1;0;2;1;2
102;CPDC3417;"2022-05-31 13:02:49";0;1;1;0;0;0;0;1;0;2;2;1;1;2;2;2
103;CPDC7395;"2022-05-31 13:38:02";0;0;0;0;1;0;0;0;0;0;0;0;1;2;1;2
104;CPDC3951;"2022-05-31 18:41:40";0;0;0;0;1;0;0;0;0;1;0;2;2;0;1;2
105;CPDC7244;"2022-05-31 19:23:48";0;0;0;0;0;0;0;0;1;1;0;1;1;2;1;2
106;CPDC3524;"2022-06-01 12:24:48";0;0;0;0;1;0;0;0;0;1;0;1;1;2;1;2
107;CPDC7535;"2022-06-02 20:49:18";1;1;0;1;1;1;0;1;1;1;1;2;2;2;1;2
108;CPDC6689;"2022-06-03 10:28:32";0;0;0;1;1;1;0;0;0;1;1;2;1;0;0;2
109;CPDC7868;"2022-06-04 10:22:30";0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2
110;CPDC4018;"2022-06-04 17:16:26";1;0;0;0;1;1;1;0;1;1;1;2;0;2;1;2
111;CPDC7990;"2022-06-05 19:16:43";0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;2
112;CPDC3491;"2022-06-06 08:19:26";0;0;0;0;1;0;0;0;0;2;0;0;1;2;0;2
113;CPDC7778;"2022-06-06 10:58:26";0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;2
114;CPDC3605;"2022-06-06 11:04:55";1;0;0;1;0;1;0;1;1;1;1;1;0;2;1;2
115;CPDC3836;"2022-06-06 11:36:16";0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;2
116;CPDC9197;"2022-06-06 12:04:49";0;0;0;0;1;1;1;0;0;0;0;0;1;2;2;2
117;CPDC1396;"2022-06-06 12:18:17";1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;2
118;CPDC3103;"2022-06-06 13:30:21";1;0;0;1;1;1;1;1;0;0;0;1;1;0;2;2
119;CPDC3411;"2022-06-06 16:18:24";1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;2
120;CPDC8559;"2022-06-06 19:21:29";0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;2
121;CPDC2621;"2022-06-06 19:22:03";0;0;0;0;2;0;0;0;0;2;1;1;0;0;0;2
122;CPDC4672;"2022-06-06 19:23:23";1;0;0;1;1;0;1;0;1;1;1;1;0;0;1;2
123;CPDC2626;"2022-06-06 20:13:27";1;0;0;0;1;1;1;1;0;1;1;0;0;2;1;2
124;CPDC3670;"2022-06-07 14:14:48";1;1;1;1;1;1;1;1;0;2;1;1;1;1;0;2
125;CPDC8508;"2022-06-07 20:34:04";2;0;0;0;1;0;0;0;0;1;0;2;1;2;1;2
126;CPDC6267;"2022-06-08 04:08:41";1;0;1;1;1;1;1;0;0;1;1;0;1;1;0;2
127;CPDC5705;"2022-06-08 08:01:06";0;0;0;0;1;1;1;0;0;0;0;1;1;2;0;2
128;CPDC4649;"2022-06-08 12:05:21";0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;2
129;CPDC1698;"2022-06-08 12:10:24";0;0;0;0;1;0;2;0;0;0;1;0;0;0;1;2
130;CPDC2723;"2022-06-10 10:45:29";0;1;0;1;1;1;0;1;1;2;1;1;1;2;1;2
131;CPDC5727;"2022-06-10 11:29:50";0;0;0;1;1;1;0;1;0;2;0;0;0;0;1;2
132;CPDC8543;"2022-06-10 11:40:11";0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;2
133;CPDC5888;"2022-06-10 12:11:13";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2
134;CPDC1834;"2022-06-10 12:11:13";0;0;0;1;1;1;1;0;0;0;0;1;0;1;1;2
135;CPDC7704;"2022-06-10 12:45:32";0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;2
136;CPDC4771;"2022-06-10 13:58:13";0;0;0;1;1;1;0;1;0;2;0;1;0;0;1;2
137;CPDC2271;"2022-06-10 15:03:46";1;0;1;1;1;1;1;1;1;2;1;1;0;1;1;2
138;CPDC6693;"2022-06-13 12:36:18";0;0;0;0;1;1;0;0;1;2;1;1;1;2;1;2
139;CPDC6655;"2022-06-14 17:38:14";0;0;0;1;0;0;0;0;0;1;1;1;1;2;1;2
140;CPDC9816;"2022-06-15 12:11:05";1;0;0;1;0;1;0;0;0;0;1;2;2;1;2;2
141;CPDC7233;"2022-06-15 14:00:56";0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;2
142;CPDC9926;"2022-06-15 18:10:54";1;0;0;1;1;1;1;0;0;2;0;0;1;0;0;2
143;CPDC4677;"2022-06-15 18:20:25";0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;2
144;CPDC7304;"2022-06-16 09:23:53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
145;CPDC5978;"2022-06-17 00:10:45";0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2
146;CPDC5611;"2022-06-22 14:27:46";0;0;0;2;1;1;1;0;0;0;0;1;1;2;1;2
147;CPDC9304;"2022-06-22 16:54:04";0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;2
148;CPDC1032;"2022-07-07 04:01:14";0;0;0;1;1;0;0;0;0;2;1;0;1;1;1;2
149;CPDC6259;"2022-07-25 16:23:39";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
