record_id;redcap_survey_identifier;sus_cuestionario_de_experiencia_de_usuario_timestamp;usar_frequentemente;innecesariamente_complejo;facil_utilizar;soporte_tecnico;bien_integrada;inconsistencia;aprender_utilizar;incomodo_utilizar;seguro_al_utilizar;necesario_aprender;obstructivo_impulsoadepoyo;complicado_facil;eficiente_ineficiente;confuso_claro;aburrido_emocionante;interesante_o_no;convencional_original;usual_novedoso;sus_cuestionario_de_experiencia_de_usuario_complete
1;CPDC4474;"2022-07-11 15:52:18";4;2;3;2;3;1;3;0;3;1;5;4;6;5;5;5;4;4;2
2;CPDC8564;"2022-07-12 00:49:16";4;0;3;0;3;1;0;0;4;0;6;6;6;6;6;6;6;6;2
3;CPDC8828;"2022-07-12 07:37:36";4;2;3;0;3;2;4;0;3;0;6;4;6;6;6;6;3;3;2
4;CPDC2879;"2022-07-12 07:54:01";4;1;4;0;2;1;4;0;4;0;6;6;6;6;5;6;6;6;2
5;CPDC7205;"2022-07-12 08:25:28";3;0;4;1;2;2;3;0;4;1;5;5;5;5;5;5;2;2;2
6;CPDC8331;"2022-07-12 08:52:47";3;1;1;0;2;1;1;1;2;1;4;3;3;2;4;5;5;5;2
7;CPDC3519;"2022-07-12 09:06:46";3;1;3;0;4;1;3;3;4;0;2;5;5;6;3;4;2;2;2
8;CPDC2499;"2022-07-12 09:42:22";3;1;4;0;3;1;3;0;4;0;5;5;3;5;5;5;5;4;2
9;CPDC8422;"2022-07-12 11:20:21";4;1;4;0;4;1;4;0;4;0;6;6;3;6;6;6;6;6;2
10;CPDC8464;"2022-07-12 11:32:33";3;2;3;1;1;2;2;1;3;1;5;4;4;4;4;4;4;4;2
11;CPDC5910;"2022-07-12 12:16:10";4;1;4;1;1;1;4;0;4;1;6;5;5;4;5;5;5;5;2
12;CPDC4352;"2022-07-12 13:16:02";3;1;3;0;2;1;4;0;4;0;5;6;3;4;2;2;2;2;2
13;CPDC3895;"2022-07-12 16:49:38";3;1;3;1;2;1;3;1;3;1;5;5;5;5;4;4;4;4;2
14;CPDC2737;"2022-07-12 19:28:30";4;1;4;0;2;0;3;0;3;0;4;6;4;5;5;5;5;5;2
15;CPDC8334;"2022-07-12 19:38:00";4;0;4;0;4;0;3;0;4;0;6;6;6;6;6;6;6;6;2
16;CPDC6928;"2022-07-12 20:27:46";4;1;3;0;2;0;2;1;3;0;6;3;6;5;6;6;5;5;2
17;CPDC2986;"2022-07-13 18:51:11";4;0;4;0;4;0;2;0;4;0;6;6;6;6;6;6;6;6;2
18;CPDC5278;"2022-07-14 09:31:59";3;1;3;0;3;1;3;1;3;0;6;5;5;5;4;4;4;4;2
19;CPDC4950;"2022-07-14 16:57:02";3;1;3;0;2;1;2;1;3;0;5;5;5;4;5;5;3;3;2
20;CPDC3251;"2022-07-15 09:44:53";4;0;4;0;1;0;3;0;4;0;6;6;6;6;5;5;4;4;2
21;CPDC4678;"2022-07-15 10:03:32";0;2;2;4;4;3;1;1;2;0;4;4;5;3;5;5;6;5;2
22;CPDC6359;"2022-07-15 10:04:59";4;2;3;2;2;3;2;1;3;1;5;3;5;5;5;6;4;4;2
23;CPDC4913;"2022-07-15 10:49:13";4;1;1;1;2;1;3;1;3;1;3;3;3;4;4;5;4;2;2
24;CPDC8796;"2022-07-15 10:58:17";3;3;2;3;2;3;2;3;3;2;4;4;4;4;4;4;4;4;2
25;CPDC3836;"2022-07-15 10:58:38";4;1;3;3;3;0;3;1;3;1;5;5;5;5;5;6;6;6;2
26;CPDC6689;"2022-07-15 11:10:01";3;2;2;2;3;3;1;2;2;2;4;3;4;2;3;5;5;5;2
27;CPDC9197;"2022-07-15 11:18:10";3;0;3;0;3;0;3;0;4;0;6;5;5;5;4;4;5;4;2
28;CPDC5851;"2022-07-15 11:23:18";4;3;2;3;3;0;1;4;3;1;0;0;6;3;6;3;6;6;2
29;CPDC5538;"2022-07-15 11:49:17";4;2;3;1;3;1;3;1;3;1;5;3;5;5;5;5;5;5;2
30;CPDC7373;"2022-07-15 11:49:09";4;2;2;2;3;1;3;0;4;2;6;5;5;6;5;5;5;6;2
31;CPDC7778;"2022-07-15 13:12:46";3;1;3;2;3;1;2;1;3;2;5;6;6;6;4;5;6;6;2
32;CPDC3417;"2022-07-15 13:51:27";4;2;2;4;2;3;0;1;2;3;5;0;6;3;6;6;6;6;2
33;CPDC8508;"2022-07-17 20:11:31";4;3;3;1;3;2;3;1;4;2;5;4;4;5;6;6;6;5;2
34;CPDC8301;"2022-07-18 10:26:36";4;1;3;1;2;1;3;1;3;1;6;6;6;5;5;6;5;5;2
35;CPDC8660;"2022-07-19 00:07:20";3;2;3;1;2;2;3;1;3;1;5;6;6;5;5;5;5;4;2
36;CPDC6352;"2022-07-19 00:24:31";4;0;4;0;1;0;3;0;4;0;6;6;4;4;5;5;5;5;2
37;CPDC2433;"2022-07-19 08:13:31";3;2;1;2;1;2;3;1;2;3;5;2;6;6;6;6;6;6;2
38;CPDC2551;"2022-07-19 10:41:27";3;2;4;0;4;0;3;1;3;0;6;5;6;6;5;6;6;5;2
39;CPDC3856;"2022-07-19 14:01:56";3;1;3;1;2;1;3;1;3;1;6;5;5;5;4;4;4;4;2
40;CPDC3524;"2022-07-19 15:08:47";3;1;3;1;2;2;3;1;3;2;6;5;5;5;5;5;5;5;2
41;CPDC9968;"2022-07-20 11:29:20";0;1;3;0;2;0;4;0;1;0;3;6;3;6;0;0;0;0;2
42;CPDC7421;"2022-07-20 14:25:29";2;2;1;2;0;3;0;4;1;2;0;0;0;0;1;1;1;1;2
43;CPDC2690;"2022-07-20 17:33:56";4;1;3;2;;3;2;1;3;4;5;3;5;3;5;6;4;3;2
44;CPDC9076;"2022-07-20 18:08:01";3;1;3;1;1;1;3;1;2;0;4;4;4;4;4;5;4;5;2
45;CPDC9233;"2022-07-20 18:23:10";3;0;3;1;2;1;2;1;3;1;6;6;6;6;6;6;4;4;2
46;CPDC1396;"2022-07-20 19:03:07";4;4;4;1;2;2;1;0;0;0;6;6;6;6;6;6;5;6;2
47;CPDC2199;"2022-07-21 09:33:07";4;1;3;0;4;1;3;0;3;0;4;5;5;5;4;5;5;5;2
48;CPDC6646;"2022-07-21 10:44:07";4;2;1;3;1;1;1;1;3;3;5;3;6;5;5;6;6;6;2
49;CPDC3605;"2022-07-21 10:50:20";4;1;4;0;3;0;4;1;3;0;6;6;5;6;6;6;6;6;2
50;CPDC1549;"2022-07-21 11:00:58";3;2;4;3;2;2;;3;3;3;6;4;5;3;4;5;0;3;2
51;CPDC8031;"2022-07-21 20:06:08";3;1;4;0;4;1;2;0;3;0;5;6;5;5;5;5;6;5;2
52;CPDC9584;"2022-07-22 10:50:10";1;3;3;1;3;1;3;1;3;1;5;5;5;6;4;6;3;4;2
53;CPDC2336;"2022-07-23 15:55:55";3;2;1;3;1;3;1;1;2;3;3;1;4;1;3;3;3;4;2
54;CPDC1307;"2022-07-25 16:26:59";4;1;3;1;2;1;3;1;3;1;5;5;4;5;4;4;3;3;2
55;CPDC5597;"2022-07-25 21:18:33";4;0;4;0;3;0;4;0;4;0;6;6;6;6;6;5;5;5;2
56;CPDC6233;"2022-07-26 10:49:38";4;4;3;2;3;2;3;1;3;3;4;4;6;4;4;6;6;5;2
57;CPDC9685;"2022-07-27 11:29:02";4;1;4;0;0;1;2;0;4;3;6;4;5;5;6;6;6;6;2
58;CPDC3491;"2022-07-27 11:55:02";4;1;3;0;4;1;4;0;3;0;5;6;5;5;5;6;5;5;2
59;CPDC6722;"2022-07-27 12:12:14";4;1;2;1;1;1;3;0;3;1;5;3;5;4;5;5;6;5;2
60;CPDC4808;"2022-07-27 12:28:49";2;3;4;1;3;1;3;1;3;1;6;3;4;6;2;3;2;2;2
61;CPDC8588;"2022-07-27 13:04:58";4;1;3;0;3;1;3;0;3;1;5;5;5;5;5;5;5;5;2
62;CPDC9032;"2022-07-27 13:05:52";4;1;3;1;1;2;3;1;2;2;6;3;3;3;3;6;4;4;2
63;CPDC2212;"2022-07-27 13:33:49";2;1;2;0;1;2;3;1;2;1;3;4;5;4;5;5;5;5;2
64;CPDC6785;"2022-07-27 13:50:58";3;3;3;1;3;1;3;1;2;1;5;5;5;5;5;4;4;4;2
65;CPDC1318;"2022-07-27 16:22:13";2;2;2;0;4;3;2;1;1;1;5;3;4;4;3;4;4;3;2
66;CPDC4755;"2022-07-27 17:37:31";3;2;2;1;3;1;1;2;2;1;5;4;5;4;5;5;5;5;2
67;CPDC1111;"2022-07-27 17:41:18";2;0;4;0;3;0;2;0;3;0;6;6;6;5;3;6;3;3;2
68;CPDC6259;"2022-07-27 18:19:54";3;0;4;0;4;0;3;0;4;0;6;6;5;5;5;6;4;4;2
69;CPDC2947;"2022-07-27 19:57:45";1;2;3;4;3;2;3;1;4;0;3;6;6;6;3;3;3;4;2
70;CPDC4969;"2022-07-27 22:15:19";4;1;4;0;2;0;4;0;2;0;6;6;3;3;1;4;3;4;2
71;CPDC1389;"2022-07-27 22:32:40";4;0;4;0;4;1;4;0;3;0;5;6;5;6;5;5;6;6;2
72;CPDC4186;"2022-07-28 00:27:18";4;4;4;4;4;2;2;0;4;2;6;6;6;6;5;6;5;5;2
73;CPDC7195;"2022-07-28 02:38:36";4;2;2;2;2;2;3;1;2;2;6;4;6;6;5;6;6;6;2
74;CPDC6384;"2022-07-28 09:45:54";3;1;3;2;3;2;3;1;2;1;2;2;3;4;3;4;4;3;2
75;CPDC4649;"2022-07-28 10:06:47";3;1;3;1;3;1;3;0;3;2;5;5;4;5;4;5;6;5;2
76;CPDC6388;"2022-07-28 10:16:02";3;3;3;1;3;1;3;1;3;1;3;5;5;3;2;3;3;3;2
77;CPDC3104;"2022-07-28 12:06:17";3;2;2;3;2;3;2;1;2;4;0;2;6;5;6;6;6;6;2
78;CPDC2507;"2022-07-28 13:38:09";3;3;3;1;3;1;3;0;3;1;5;5;5;5;5;6;5;3;2
79;CPDC3951;"2022-07-28 17:11:06";4;2;3;3;1;1;1;2;1;2;5;3;6;4;6;6;5;6;2
80;CPDC7950;"2022-07-28 18:39:35";3;0;4;0;3;0;3;0;4;0;6;6;6;6;5;6;5;5;2
81;CPDC1978;"2022-07-29 10:12:36";3;2;3;1;1;3;3;1;3;3;6;4;4;5;5;5;6;3;2
82;CPDC3670;"2022-07-29 13:51:20";4;2;2;3;2;3;1;2;1;1;6;4;5;4;5;5;5;4;2
83;CPDC9816;"2022-07-29 18:32:00";3;3;4;3;4;3;4;1;3;3;6;6;6;6;6;6;6;6;2
84;CPDC4018;"2022-07-30 16:30:30";2;0;4;0;2;0;4;0;4;2;6;6;6;6;6;6;3;3;2
85;CPDC8225;"2022-07-31 18:41:46";4;1;4;0;4;0;3;0;3;0;5;6;5;6;5;5;5;5;2
86;CPDC7284;"[not completed]";4;3;4;3;4;0;2;0;4;2;0;6;;6;6;6;;6;0
87;CPDC3447;"2022-08-01 21:57:50";4;1;4;0;4;0;2;0;4;0;6;6;6;6;5;6;4;5;2
88;CPDC1740;"2022-08-02 00:18:43";3;0;4;0;4;0;3;0;4;0;6;5;6;5;5;5;4;4;2
89;CPDC2378;"2022-08-02 11:55:45";4;3;2;1;3;3;2;0;2;3;6;4;6;5;6;6;4;6;2
90;CPDC5727;"2022-08-02 13:34:57";2;3;3;1;2;1;3;0;3;1;5;5;3;5;3;3;3;1;2
91;CPDC6591;"2022-08-02 15:22:32";3;2;2;1;2;1;3;1;2;1;3;4;3;3;5;5;2;2;2
92;CPDC6950;"2022-08-02 21:00:01";3;1;3;1;1;1;3;1;3;2;3;5;4;4;4;4;4;4;2
93;CPDC5978;"2022-08-03 03:59:18";3;1;4;0;4;1;4;0;4;0;6;6;6;6;6;6;6;6;2
